"cpu_id", "freq", "sample_id", "time_passed"
"cpu003", 2184128,     0 ,    0
"cpu002", 900041,     0 ,    0
"cpu001", 900037,     0 ,    0
"cpu000", 900134,     0 ,    0
"cpu003", 900040,     1 ,    0
"cpu002", 899809,     1 ,    0
"cpu001", 900039,     1 ,    0
"cpu000", 900031,     1 ,    0
"cpu003", 900039,     2 ,    0
"cpu002", 900014,     2 ,    0
"cpu001", 898035,     2 ,    0
"cpu000", 891600,     2 ,    0
"cpu003", 900044,     3 ,    0
"cpu002", 899414,     3 ,    0
"cpu001", 900045,     3 ,    0
"cpu000", 900029,     3 ,    0
"cpu003", 900044,     4 ,    0
"cpu002", 898876,     4 ,    0
"cpu001", 900051,     4 ,    0
"cpu000", 900027,     4 ,    0
"cpu003", 900037,     5 ,    0
"cpu002", 900005,     5 ,    0
"cpu001", 900038,     5 ,    0
"cpu000", 900065,     5 ,    0
"cpu003", 900040,     6 ,    0
"cpu002", 900002,     6 ,    0
"cpu001", 900033,     6 ,    0
"cpu000", 900010,     6 ,    0
"cpu003", 900042,     7 ,    0
"cpu002", 899994,     7 ,    0
"cpu001", 900043,     7 ,    0
"cpu000", 900035,     7 ,    0
"cpu003", 900038,     8 ,    0
"cpu002", 899240,     8 ,    0
"cpu001", 900043,     8 ,    0
"cpu000", 900034,     8 ,    0
"cpu003", 900039,     9 ,    0
"cpu002", 900002,     9 ,    0
"cpu001", 900053,     9 ,    0
"cpu000", 900040,     9 ,    0
"cpu003", 900062,    10 ,    0
"cpu002", 900020,    10 ,    0
"cpu001", 899608,    10 ,    0
"cpu000", 900022,    10 ,    0
"cpu003", 900083,    11 ,    0
"cpu002", 900032,    11 ,    0
"cpu001", 900013,    11 ,    0
"cpu000", 900052,    11 ,    0
"cpu003", 900062,    12 ,    0
"cpu002", 900083,    12 ,    0
"cpu001", 900039,    12 ,    0
"cpu000", 900032,    12 ,    0
"cpu003", 900100,    13 ,    0
"cpu002", 900063,    13 ,    0
"cpu001", 900074,    13 ,    0
"cpu000", 900015,    13 ,    0
"cpu003", 900082,    14 ,    0
"cpu002", 900049,    14 ,    0
"cpu001", 900071,    14 ,    0
"cpu000", 900032,    14 ,    0
"cpu003", 900077,    15 ,    0
"cpu002", 900070,    15 ,    0
"cpu001", 900085,    15 ,    0
"cpu000", 900031,    15 ,    0
"cpu003", 900081,    16 ,    0
"cpu002", 900486,    16 ,    0
"cpu001", 900215,    16 ,    0
"cpu000", 900073,    16 ,    0
"cpu003", 851131,    17 ,    0
"cpu002", 894694,    17 ,    0
"cpu001", 854963,    17 ,    0
"cpu000", 811399,    17 ,    0
"cpu003", 800137,    18 ,    0
"cpu002", 800436,    18 ,    0
"cpu001", 800269,    18 ,    0
"cpu000", 800023,    18 ,    0
"cpu003", 800181,    19 ,    0
"cpu002", 800206,    19 ,    0
"cpu001", 800322,    19 ,    0
"cpu000", 800008,    19 ,    0
"cpu003", 840283,    20 ,    0
"cpu002", 843380,    20 ,    0
"cpu001", 843017,    20 ,    0
"cpu000", 884005,    20 ,    0
"cpu003", 817672,    21 ,    0
"cpu002", 900551,    21 ,    0
"cpu001", 900299,    21 ,    0
"cpu000", 900031,    21 ,    0
"cpu003", 900145,    22 ,    0
"cpu002", 852615,    22 ,    0
"cpu001", 855230,    22 ,    0
"cpu000", 858165,    22 ,    0
"cpu003", 857371,    23 ,    0
"cpu002", 800283,    23 ,    0
"cpu001", 800456,    23 ,    0
"cpu000", 800029,    23 ,    0
"cpu003", 889752,    24 ,    0
"cpu002", 896541,    24 ,    0
"cpu001", 899463,    24 ,    0
"cpu000", 898330,    24 ,    0
"cpu003", 854299,    25 ,    0
"cpu002", 880801,    25 ,    0
"cpu001", 878980,    25 ,    0
"cpu000", 860953,    25 ,    0
"cpu003", 800105,    26 ,    0
"cpu002", 800221,    26 ,    0
"cpu001", 800192,    26 ,    0
"cpu000", 800014,    26 ,    0
"cpu003", 800053,    27 ,    0
"cpu002", 800057,    27 ,    0
"cpu001", 800073,    27 ,    0
"cpu000", 800016,    27 ,    0
"cpu003", 846506,    28 ,    0
"cpu002", 843869,    28 ,    0
"cpu001", 843686,    28 ,    0
"cpu000", 887510,    28 ,    0
"cpu003", 803013,    29 ,    0
"cpu002", 813752,    29 ,    0
"cpu001", 800487,    29 ,    0
"cpu000", 803422,    29 ,    0
"cpu003", 849696,    30 ,    0
"cpu002", 880470,    30 ,    0
"cpu001", 855465,    30 ,    0
"cpu000", 855964,    30 ,    0
"cpu003", 886471,    31 ,    0
"cpu002", 856652,    31 ,    0
"cpu001", 897959,    31 ,    0
"cpu000", 896085,    31 ,    0
"cpu003", 900027,    32 ,    0
"cpu002", 900107,    32 ,    0
"cpu001", 900059,    32 ,    0
"cpu000", 900032,    32 ,    0
"cpu003", 892319,    33 ,    0
"cpu002", 858415,    33 ,    0
"cpu001", 888446,    33 ,    0
"cpu000", 900032,    33 ,    0
"cpu003", 899992,    34 ,    0
"cpu002", 900024,    34 ,    0
"cpu001", 892114,    34 ,    0
"cpu000", 900029,    34 ,    0
"cpu003", 900000,    35 ,    0
"cpu002", 900028,    35 ,    0
"cpu001", 895181,    35 ,    0
"cpu000", 899976,    35 ,    0
"cpu003", 900023,    36 ,    0
"cpu002", 900037,    36 ,    0
"cpu001", 897948,    36 ,    0
"cpu000", 900066,    36 ,    0
"cpu003", 900284,    37 ,    0
"cpu002", 900506,    37 ,    0
"cpu001", 900551,    37 ,    0
"cpu000", 900027,    37 ,    0
"cpu003", 900296,    38 ,    0
"cpu002", 900462,    38 ,    0
"cpu001", 900128,    38 ,    0
"cpu000", 899995,    38 ,    0
"cpu003", 900408,    39 ,    0
"cpu002", 900283,    39 ,    0
"cpu001", 900292,    39 ,    0
"cpu000", 900049,    39 ,    0
"cpu003", 900387,    40 ,    0
"cpu002", 900275,    40 ,    0
"cpu001", 900227,    40 ,    0
"cpu000", 900018,    40 ,    0
"cpu003", 892149,    41 ,    0
"cpu002", 854464,    41 ,    0
"cpu001", 854611,    41 ,    0
"cpu000", 810482,    41 ,    0
"cpu003", 800187,    42 ,    0
"cpu002", 800546,    42 ,    0
"cpu001", 800152,    42 ,    0
"cpu000", 800020,    42 ,    0
"cpu003", 800341,    43 ,    0
"cpu002", 800028,    43 ,    0
"cpu001", 800025,    43 ,    0
"cpu000", 800021,    43 ,    0
"cpu003", 800016,    44 ,    0
"cpu002", 800021,    44 ,    0
"cpu001", 800004,    44 ,    0
"cpu000", 800006,    44 ,    0
"cpu003", 2949514,    45 ,    0
"cpu002", 2966928,    45 ,    0
"cpu001", 2954952,    45 ,    0
