"cpu_id", "freq", "log_id"
"cpu0", 0.487016, 53
"cpu1", 0.481009, 53
"cpu2", 0.480000, 53
"cpu3", 0.480000, 53
"cpu0", 0.480000, 54
"cpu1", 0.481156, 54
"cpu2", 0.502223, 54
"cpu3", 0.501589, 54
"cpu0", 0.480000, 55
"cpu1", 0.481156, 55
"cpu2", 0.502223, 55
"cpu3", 0.501589, 55
"cpu0", 0.479995, 56
"cpu1", 0.480003, 56
"cpu2", 0.488660, 56
"cpu3", 0.535277, 56
"cpu0", 0.607039, 57
"cpu1", 0.602324, 57
"cpu2", 0.480005, 57
"cpu3", 0.479969, 57
"cpu0", 0.537545, 58
"cpu1", 0.584689, 58
"cpu2", 0.495582, 58
"cpu3", 0.500283, 58
"cpu0", 0.537545, 59
"cpu1", 0.584689, 59
"cpu2", 0.495582, 59
"cpu3", 0.500283, 59
"cpu0", 0.485818, 60
"cpu1", 0.499751, 60
"cpu2", 0.531244, 60
"cpu3", 0.560000, 60
"cpu0", 0.485818, 61
"cpu1", 0.499751, 61
"cpu2", 0.531244, 61
"cpu3", 0.560000, 61
"cpu0", 0.507283, 62
"cpu1", 0.535965, 62
"cpu2", 0.492587, 62
"cpu3", 0.533726, 62
"cpu0", 0.507283, 63
"cpu1", 0.535965, 63
"cpu2", 0.492587, 63
"cpu3", 0.533726, 63
"cpu0", 0.522839, 64
"cpu1", 0.520833, 64
"cpu2", 0.480000, 64
"cpu3", 0.480040, 64
"cpu0", 0.484783, 65
"cpu1", 0.539740, 65
"cpu2", 0.498747, 65
"cpu3", 0.513226, 65
"cpu0", 0.484783, 66
"cpu1", 0.539740, 66
"cpu2", 0.498747, 66
"cpu3", 0.513226, 66
"cpu0", 0.495039, 67
"cpu1", 0.514256, 67
"cpu2", 0.496505, 67
"cpu3", 0.483873, 67
"cpu0", 0.495039, 68
"cpu1", 0.514256, 68
"cpu2", 0.496505, 68
"cpu3", 0.483873, 68
"cpu0", 0.522175, 69
"cpu1", 0.567146, 69
"cpu2", 0.480000, 69
"cpu3", 0.480000, 69
"cpu0", 0.522175, 70
"cpu1", 0.567146, 70
"cpu2", 0.480000, 70
"cpu3", 0.480000, 70
"cpu0", 0.505274, 71
"cpu1", 0.519843, 71
"cpu2", 0.480003, 71
"cpu3", 0.480000, 71
"cpu0", 0.480000, 72
"cpu1", 0.485824, 72
"cpu2", 0.520254, 72
"cpu3", 0.504518, 72
"cpu0", 0.480000, 73
"cpu1", 0.485824, 73
"cpu2", 0.520254, 73
"cpu3", 0.504518, 73
"cpu0", 0.480000, 74
"cpu1", 0.490316, 74
"cpu2", 0.493534, 74
"cpu3", 0.482284, 74
"cpu0", 0.480000, 75
"cpu1", 0.490316, 75
"cpu2", 0.493534, 75
"cpu3", 0.482284, 75
