"cpu_id", "freq", "sample_id"
"cpu1", 0.480000, 46
"cpu2", 0.480000, 46
"cpu3", 0.480000, 46
"cpu0", 0.480000, 47
"cpu1", 0.480000, 47
"cpu2", 0.480000, 47
"cpu3", 0.480000, 47
"cpu0", 0.480000, 48
"cpu1", 0.480000, 48
"cpu2", 0.480000, 48
"cpu3", 0.479996, 48
"cpu0", 0.480000, 49
"cpu1", 0.480000, 49
"cpu2", 0.480000, 49
"cpu3", 0.480000, 49
"cpu0", 0.480000, 50
"cpu1", 0.480000, 50
"cpu2", 0.480000, 50
"cpu3", 0.480000, 50
"cpu0", 0.480000, 51
"cpu1", 0.480000, 51
"cpu2", 0.480000, 51
"cpu3", 0.480001, 51
"cpu0", 0.480000, 52
"cpu1", 0.480000, 52
"cpu2", 0.480000, 52
"cpu3", 0.480001, 52
"cpu0", 0.480000, 53
"cpu1", 0.480000, 53
"cpu2", 0.479993, 53
"cpu3", 0.479996, 53
"cpu0", 0.480000, 54
"cpu1", 0.480000, 54
"cpu2", 0.480000, 54
"cpu3", 0.480006, 54
"cpu0", 0.480000, 55
"cpu1", 0.480000, 55
"cpu2", 0.480000, 55
"cpu3", 0.480006, 55
"cpu0", 0.480000, 56
"cpu1", 0.480000, 56
"cpu2", 0.481712, 56
"cpu3", 0.499166, 56
"cpu0", 0.480000, 57
"cpu1", 0.480000, 57
"cpu2", 0.481712, 57
"cpu3", 0.499166, 57
"cpu0", 0.480000, 58
"cpu1", 0.480000, 58
"cpu2", 0.480000, 58
"cpu3", 0.479996, 58
"cpu0", 0.480000, 59
"cpu1", 0.480000, 59
"cpu2", 0.479981, 59
"cpu3", 0.480006, 59
"cpu0", 0.480000, 60
"cpu1", 0.480000, 60
"cpu2", 0.483498, 60
"cpu3", 0.537810, 60
"cpu0", 0.480000, 61
"cpu1", 0.480000, 61
"cpu2", 0.486005, 61
"cpu3", 0.484906, 61
"cpu0", 0.480000, 62
"cpu1", 0.480000, 62
"cpu2", 0.486005, 62
"cpu3", 0.484906, 62
"cpu0", 0.480000, 63
"cpu1", 0.480000, 63
"cpu2", 0.479997, 63
"cpu3", 0.480000, 63
"cpu0", 0.480000, 64
"cpu1", 0.480000, 64
"cpu2", 0.479997, 64
"cpu3", 0.480000, 64
"cpu0", 0.480000, 65
"cpu1", 0.480000, 65
"cpu2", 0.480000, 65
"cpu3", 0.480001, 65
"cpu0", 0.480000, 66
"cpu1", 0.480000, 66
"cpu2", 0.479883, 66
"cpu3", 0.480000, 66
"cpu0", 0.480000, 67
"cpu1", 0.480000, 67
"cpu2", 0.480122, 67
"cpu3", 0.479996, 67
"cpu0", 0.480000, 68
"cpu1", 0.480000, 68
"cpu2", 0.480000, 68
"cpu3", 0.480000, 68
"cpu0", 0.480000, 69
"cpu1", 0.480000, 69
"cpu2", 0.480000, 69
"cpu3", 0.480006, 69
"cpu0", 0.480000, 70
"cpu1", 0.480000, 70
"cpu2", 0.480000, 70
"cpu3", 0.480006, 70
"cpu0", 0.480000, 71
"cpu1", 0.480000, 71
"cpu2", 0.688445, 71
"cpu3", 0.733977, 71
"cpu0", 0.480000, 72
"cpu1", 0.479975, 72
